listing_id,future_calendar_days_observed_30d,future_available_days_30d,future_available_rate_30d,high_demand_proxy,room_type,property_type,accommodates,bedrooms,beds,bathrooms,listing_price,minimum_nights,maximum_nights,instant_bookable,is_superhost,neighbourhood_name,host_listing_count,available_days_last_90d,available_rate_last_90d,avg_minimum_nights_calendar_last_90d,avg_maximum_nights_calendar_last_90d,available_days_last_30d,available_rate_last_30d,avg_minimum_nights_calendar_last_30d,avg_maximum_nights_calendar_last_30d,total_reviews_before_cutoff,unique_reviewers_before_cutoff,avg_comment_len_before_cutoff,max_comment_len_before_cutoff,days_since_last_review,cutoff_date,dataset_version
1443670960781261954,30,30,1.0,0,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,146.0,2,30,False,False,Buitenveldert - Zuidas,1,91,1.0,2.0,30.0,30,1.0,2.0,30.0,5.0,5.0,371.2,501.0,365.0,2026-08-11,v1_student
896043282611946316,30,0,0.0,1,Entire home/apt,Entire rental unit,2,1.0,,1.5,,5,25,False,False,Zuid,1,0,0.0,5.0,25.0,0,0.0,5.0,25.0,2.0,2.0,469.0,917.0,668.0,2026-08-11,v1_student
958726726744532841,30,0,0.0,1,Entire home/apt,Entire condo,2,1.0,,1.0,,2,7,False,False,Centrum-Oost,1,0,0.0,2.0,7.0,0,0.0,2.0,7.0,23.0,23.0,277.30434782608694,993.0,347.0,2026-08-11,v1_student
39969190,30,0,0.0,1,Entire home/apt,Entire rental unit,2,1.0,,1.5,,3,9,False,False,Westerpark,1,0,0.0,3.0,9.0,0,0.0,3.0,9.0,10.0,10.0,182.5,423.0,546.0,2026-08-11,v1_student
1272264495001498383,30,30,1.0,0,Private room,Private room in townhouse,2,1.0,2.0,2.0,125.0,2,365,False,False,Osdorp,1,88,0.967032967032967,2.0,365.0,27,0.9,2.0,365.0,2.0,2.0,118.0,201.0,557.0,2026-08-11,v1_student
1093563123501570178,30,0,0.0,1,Entire home/apt,Entire condo,2,1.0,1.0,1.0,133.0,3,30,False,False,Bos en Lommer,1,0,0.0,3.0,30.0,0,0.0,3.0,30.0,4.0,4.0,247.5,309.0,522.0,2026-08-11,v1_student
1476051889347548382,30,30,1.0,0,Entire home/apt,Entire condo,2,0.0,1.0,1.0,214.0,1,1125,True,False,Centrum-West,1,87,0.9560439560439561,2.0,1125.0,26,0.8666666666666667,2.0,1125.0,2.0,2.0,82.0,128.0,361.0,2026-08-11,v1_student
21084288,30,0,0.0,1,Entire home/apt,Entire home,4,2.0,,2.0,,8,28,False,False,Oud-Oost,1,0,0.0,10.0,28.0,0,0.0,10.0,28.0,0.0,0.0,,,90.0,2026-08-11,v1_student
1041257783578352876,30,0,0.0,1,Entire home/apt,Entire condo,4,2.0,,1.0,,3,365,False,False,Bijlmer-Oost,1,0,0.0,3.0,365.0,0,0.0,3.0,365.0,15.0,15.0,225.0,1000.0,352.0,2026-08-11,v1_student
14572858,30,0,0.0,1,Entire home/apt,Entire condo,4,2.0,2.0,1.5,256.0,3,7,False,False,Oostelijk Havengebied - Indische Buurt,1,0,0.0,3.0,1125.0,0,0.0,3.0,1125.0,39.0,38.0,262.56410256410254,877.0,359.0,2026-08-11,v1_student
45072261,30,0,0.0,1,Hotel room,Room in hostel,1,1.0,2.0,0.5,43.0,1,365,True,False,Zuid,10,0,0.0,1.4285714285714286,7.0,0,0.0,1.4,7.0,34.0,34.0,93.76470588235294,440.0,599.0,2026-08-11,v1_student
40247038,30,0,0.0,1,Private room,Private room in rental unit,2,,,1.5,,1,1125,False,False,Slotervaart,2,0,0.0,1.0,1125.0,0,0.0,1.0,1125.0,2.0,2.0,214.0,231.0,2431.0,2026-08-11,v1_student
